Species,Num,min,max,mean,median,max-min
nitrosyl chloride,1,7.621105166859602,7.621105166859602,7.621105166859602,7.621105166859602,0.0
nitryl chloride,1,7.849363818840582,7.849363818840582,7.849363818840582,7.849363818840582,0.0
chlorine nitrate,0,0.0,0.0,0.0,0.0,0.0
chloramine,3,0.08338160893905121,0.1508228897345837,0.12834246280273953,0.1508228897345837,0.06744128079553248
dichloramine,3,1.2378743560016174,1.2729656758128876,1.2495714626053742,1.2378743560016174,0.035091319811270116
nitrogen trichloride,3,6.917805614835639,6.917805614835639,6.917805614835639,6.917805614835639,0.0
bromine (molecular),11,4.017383521085972,4.990832666800076,4.799207079879647,4.879607031689852,0.9734491457141035
bromine atom,0,0.0,0.0,0.0,0.0,0.0
hydrogen bromide,1,1.4271163556401458,1.4271163556401458,1.4271163556401458,1.4271163556401458,0.0
hypobromous acid,3,-2.9444389791664407,-0.2623642644674911,-1.1563891693671409,-0.2623642644674911,2.6820747146989494
nitryl bromide,0,0.0,0.0,0.0,0.0,0.0
bromine nitrate,0,0.0,0.0,0.0,0.0,0.0
bromine chloride,6,2.7806208939370456,4.677740878822926,4.016568549714044,4.4176672356763635,1.8971199848858809
iodine (molecular),4,3.473768074496991,4.509860006183766,3.766434186701918,3.5410543330634576,1.0360919316867752
iodine atom,0,0.0,0.0,0.0,0.0,0.0
hydrogen iodide,0,0.0,0.0,0.0,0.0,0.0
hypoiodous acid,1,-1.410986973710262,-1.410986973710262,-1.410986973710262,-1.410986973710262,0.0
iodine chloride,0,0.0,0.0,0.0,0.0,0.0
iodine bromide,0,0.0,0.0,0.0,0.0,0.0
hydrogen sulfide,16,6.812445099177812,7.05857816871672,6.923537828209627,6.907755278982137,0.24613306953890834
sulfur dioxide,13,0.9162907318741551,4.422848629194137,4.1056193790801325,4.422848629194137,3.506557897319982
sulfur trioxide,0,0.0,0.0,0.0,0.0,0.0
sulfuric acid,0,0.0,0.0,0.0,0.0,0.0
sulfur hexafluoride,7,12.859999112936837,13.479038321343062,12.99977493468736,12.940041820610373,0.6190392084062246
sulfuryl fluoride,1,9.326874188232134,9.326874188232134,9.326874188232134,9.326874188232134,0.0
helium,9,12.454534004828673,12.507177738314095,12.480663438049469,12.480509491231935,0.05264373348542151
neon,9,12.311433161188,12.333906017040059,12.321421097122249,12.311433161188,0.02247285585205816
argon,15,11.107460356862063,11.176453228349015,11.171853703583217,11.176453228349015,0.06899287148695166
krypton,11,10.596634733096073,10.819778284410283,10.620631600899204,10.596634733096073,0.2231435513142106
xenon,10,9.923690259853647,10.319002996497794,10.07012482711128,10.054310442270712,0.3953127366441471
radon,6,9.282911064811017,9.396669950167675,9.31272117995067,9.29918651618133,0.11375888535665801
boric acid,0,0.0,0.0,0.0,0.0,0.0
