,Experimental,Predicted
154,11.042921835724492,[10.52370611]
155,10.596634733096073,[10.59663473]
156,10.637456727616328,[10.52370611]
157,11.512925464970227,[10.81667745]
158,11.330603908176274,[10.81667745]
159,8.947976107508694,[7.5866086]
160,8.947976107508694,[8.12448834]
161,9.396669950167675,[7.9569975]
162,8.377431249041079,[7.87043702]
163,8.016417903503749,[8.07785116]
164,6.907755278982138,[6.51563826]
165,6.165817934252759,[6.08858109]
166,7.799353398265921,[6.04758762]
167,7.0131157946399645,[7.23363016]
168,7.5616817463888015,[7.81799231]
169,7.824046010856294,[8.13401936]
170,7.684284068481133,[8.28267288]
171,8.873868135354972,[8.39924129]
172,9.028018815182227,[8.39924129]
173,9.581404053367015,[8.39924129]
174,7.902007552326003,[6.04664481]
175,6.214608098422191,[6.61232314]
176,6.377127027919967,[5.99447324]
177,6.319968614080018,[5.99447324]
178,6.502290170873972,[6.23814902]
179,6.214608098422191,[6.23814902]
180,6.0322865416282365,[6.05050862]
181,5.809142990314027,[6.05050862]
182,6.571283042360923,[6.1987776]
183,6.265901392809743,[6.1987776]
184,5.914503505971854,[6.30857123]
185,6.377127027919967,[6.16033496]
186,6.377127027919967,[6.16033496]
187,7.849363818840582,[6.99486349]
188,6.571283042360923,[6.24322583]
189,6.214608098422191,[6.24322583]
190,6.725433722188183,[6.21393228]
191,5.572754212249796,[6.21393228]
192,6.571283042360923,[6.31560776]
193,6.725433722188183,[6.21159424]
194,6.074846156047032,[6.10965271]
195,6.214608098422191,[6.08799289]
196,7.1691200431165445,[6.65900944]
197,7.250245587928912,[6.71909532]
198,8.111728083308073,[6.97005885]
199,7.09408485717363,[6.79630463]
200,6.6453910145146455,[6.67377051]
201,6.377127027919967,[6.37712703]
202,7.684284068481133,[6.07498057]
203,5.599422459331958,[6.09756572]
204,5.914503505971854,[5.32140817]
205,6.571283042360923,[5.31048626]
206,5.952243833954701,[5.68581891]
207,5.654992310486769,[5.65499231]
208,8.145629634983754,[7.9695304]
209,8.740336742730447,[7.81791802]
210,8.145629634983754,[7.9637615]
211,7.875339305243843,[7.9637615]
212,7.641724454062338,[7.83325332]
213,8.254828926948747,[7.83325332]
214,7.9575774034808155,[7.83325332]
215,8.740336742730447,[7.9695304]
216,7.047017346315645,[7.04701735]
217,7.875339305243843,[7.9695304]
218,8.622553707074063,[7.96343735]
219,8.622553707074063,[7.99382159]
220,3.324236340526027,[2.83161729]
221,0.0,[2.85527495]
222,2.8302178350764176,[3.16772836]
223,1.8971199848858813,[2.98666498]
